"IdArticulo","Descripcion","Descripcion1","IdTipo","LogoPantalla","AvisoActivo","Aviso","IdFamilia","IdSubFamilia","IdDepartamento","IdSeccion","Favorito","EtiquetaPorPesada","TaraFija","TaraPorcentual","PesoEmbalaje","CheckWeigher","PesoMinimo","PesoMaximo","PesoObjetivo","PorcentajeMinimo","PorcentajeMaximo","FechaCaducidadActivada","FechaCaducidad","DiasCaducidad","HorasCaducidad","FechaExtraActivada","FechaExtra","DiasExtra","HorasExtra","FechaEnvasadoActivada","FechaEnvasado","DiasEnvasado","HorasEnvasado","FechaCongelacionActivada","FechaCongelacion","DiasCongelacion","HorasCongelacion","FechaConsumoActivada","FechaConsumo","DiasConsumo","HorasConsumo","FechaFabricacionActivada","FechaFabricacion","DiasFabricacion","HorasFabricacion","IdEtiqueta","IdEtiquetaAlergenos","IdEtiquetaTotales","IdEtiquetaTotales2","IdEtiquetaTotales3","IdEtiquetaTotalesGeneral","FormatoEtiquetaSerieL","TipoOferta","LogoEtiqueta","CodInterno","EANScanner","IdClase","IdElemAsociado","LoteAuto","Texto1","Texto2","Texto3","Texto4","Texto5","Texto6","Texto7","Texto8","Texto9","Texto10","Texto11","Texto12","Texto13","Texto14","Texto15","Texto16","Texto17","Texto18","Texto19","Texto20","TextoLibre","PesoPieza","Medida2","UnidadesCaja","StockCantidad2","PrecioEstandar","MargenEstandar","PrecioUltimaCompra","FechaUltimaCompra","MargenUltimaCompra","PrecioMedio","MargenMedio","ModificaPV","PrecioSinIVA","IdIVA","PrecioConIVA","Descuento","TipoDescuento","NumUnidadesDto","TipoCalculo","AplicarRE","IdCodBarras","IdCodBarras2","IdCodBarrasTotalNivel1","IdCodBarras2TotalNivel1","IdCodBarrasTotalNivel2","IdCodBarras2TotalNivel2","IdCodBarrasTotalNivel3","IdCodBarras2TotalNivel3","Nivel1","Nivel2","Nivel3","IdCodBarrasTotalGeneral","IdCodBarras2TotalGeneral","IdTexto1","IdTexto2","IdTexto3","IdTexto4","IdTexto5","IdTexto6","IdTexto7","IdTexto8","IdTexto9","IdTexto10","Rojo","Verde","Azul","DescripcionPreenvasados","TeclaDirecta","PrecioOferta","PrecioOferta2","StockActual","StockActual2","PrecioPorCienGramos","IncluirGestionStock","CodSmiley","EnVenta","IdLogo","IdLogo1","IdLogo2","IdLogo3","IdLogo4","IdLogo5","Color","IdEmpresa","Modificado","ModificadoTextos","ModificadoTextoG","Operacion","Usuario","TimeStamp","PlayList","Marca","IdCodigoVisionArt"
1,"CROCCHE' DI PATATE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",5,0,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0,""" Ingredienti: Patata pasta gialla, SCAMORZA (LATTE, caglio, sale), GRANA PADANO(LATTE, caglio, sale, lisozima da uovo),sale, pepe, prezzemolo,UOVA pastorizzate, FARINA 00, pan grattato(FARINA di GRANO tenerotipo """"0"""", lievito di birra e sale), olio di semi digirasole.PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi.                                    ""","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):143.48;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):600.32;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,100.000,,"",100.000,,100.000,1,222.220000,,222.220,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","BELL","2025-04-23 07:49:38","",1,
2,"PALLA DI RISO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: riso carnaroli, SEDANO, carota, cipolla, piselli, olio EVO, sale, pepe, PARMIGIANO, pan grattato.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
3,"FRITTATINA NAPOLETANA DI PASTA CLASSICA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di GRANO duro, SEDANO, carota, cipolla, carne trita di suino e bovino in porzioni variabili, BESCIAMELLA UHT(LATTE, PANNA, FARINA 00), grana padano(LATTE, caglio, sale, lisozi-ma da uovo) sale, pepe, Olio evo,vino bianco(contiene solfiti)piselli. FARINA 00, olio di semi di girasole.PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi.","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):145.15;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):607.30;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","BELL","2025-04-23 07:57:36","",1,
4,"FRITTATINA NAPOLETANA DI PASTA DI PATATE E PROVOLA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Pasta mista di SEMOLA di GRANO duro, SEDANO , carota,cipolla, concentrato di pomodoro(pomodoro e sale), patata, BESCIAMELLA UHT(LATTE, PANNA, FARINA 00), GRANA PADANO(LATTE, caglio, sale, lisozimada uovo), PROVOLA(LATTE, caglio, sale), Olio evo, sale, pepe.FARINA00, olio di semi di girasole. PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):143.48;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):600.32;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","rgi","2025-04-23 08:03:23","",1,
5,"FRITTATINA NAPOLETANA DI PASTA ALLA GENOVESE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di GRANO duro, carne di vitello, SEDANO, carota, cipolla, BESCIAMELLA UHT(LATTE, PANNA, FARINA 00),pecorino(LATTE di pecora, sale, caglio, fermenti lattici), sale, pepe,Olio evo, alloro. FARINA 00, olio di semi di girasole. PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):145.15;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):607.30;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,-0.238,0.000,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","rgi","2025-04-23 08:03:48","",1,
6,"FRITTATINA NAPOLETANA DI PASTA  ALLA NERANO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di GRANO duro, PROVOLONE piccante(LATTE, sale, caglio), zucchine, basilico,BESCIAMELLA UHT(LATTE, PANNA, FARINA 00), GRANA PADANO(LATTE, caglio, sale, lisozima da uovo), sale, pepeOlio evo.FARINA 00, olio di semi di girasole. PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):160.42;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):671.19;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","rgi","2025-04-23 08:04:07","",1,
7,"FRITTATINA NAPOLETANA DI PASTA ALLO SCARPIELLO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,1,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: Bucatini di SEMOLA di GRANO duro, passata di pomodoro(pomodoro, acido citrico), pomodoro datterino,SEDANO, carota, cipolla, peperoncino secco,BESCIAMELLA UHT(LATTE, PANNA, FARINA 00), pecorino(LATTE di pecora, sale, caglio, fermenti lattici), sale, pepe, Olio.FARINA 00, olio di semi di girasole. PuÃ² contenere tracce di glutine, crostacei, uova, pesce, arachidi, soia, latte, frutta a guscio, sedano, senape, sesamo, anidride solforosa, lupini,molluschi.","","","","","","","","","","","","","","","","","","","","VALORE ENERGETICO (kcal):138.00;CARBOIDRATI (g):24.60;GRASSI TOTALI (g):3.01;PROTEINE (g):6.80;di cui GRASSI SATURI (g):0.89;Energia (kJ):577.39;di cui ZUCCHERI (g):2.49;SALE (g):0.11;FIBRE (g):1.20",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,"M","rgi","2025-04-23 08:04:33","",1,
8,"POLPETTE FRITTE","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," trita di maiale, trita di vitello, mollica di pane, LATTE, UOVA, PARMIGIANO, pangrattato, sale, pepe, Olio evo.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
9,"SALSICCIA FRITTA","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Salsiccia di maiale a punta di coltello, olio di semi di girasole.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"A","rgi","2025-04-10 11:28:07","",1,
10,"RAGU' NAPOLETANO","",1,"",0,"",,,,1,1,0,,,,0,,,,,,1,"",,,0,"",,,0,"",,,0,"",,,0,"",,,0,"",,,,,,,,,"",0,"",,"",,,0," Ingredienti: SEDANO, carota, cipolla, Olio evo, salsiccia di maiale a punta di coltello, pancetta di maiale, carne di vitello, passata di pomodoro, sale, pepe, vino rosso.","","","","","","","","","","","","","","","","","","","","",,"",,0,,,,"",,,,1,,,0.000,,1,2,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,"",,,,,,0,1,,1,,,,,,,0,1,1,1,0,"M","rgi","2025-04-10 15:36:19","",1,
