"Field","Type","Null","Key","Default","Extra"
"IdArticulo","int(11)","NO","PRI","",""
"Descripcion","varchar(100)","YES","","",""
"Descripcion1","varchar(100)","YES","","",""
"IdTipo","int(11)","NO","","1",""
"LogoPantalla","varchar(1000)","YES","","",""
"AvisoActivo","tinyint(1)","YES","","0",""
"Aviso","varchar(100)","YES","","",""
"IdFamilia","int(11)","YES","","",""
"IdSubFamilia","int(11)","YES","","",""
"IdDepartamento","int(11)","YES","","",""
"IdSeccion","int(11)","YES","","",""
"Favorito","tinyint(1)","YES","","1",""
"EtiquetaPorPesada","tinyint(1)","YES","","0",""
"TaraFija","int(11)","YES","","",""
"TaraPorcentual","int(11)","YES","","",""
"PesoEmbalaje","double(15,3)","YES","","",""
"CheckWeigher","int(1)","YES","","0",""
"PesoMinimo","double(15,3)","YES","","",""
"PesoMaximo","double(15,3)","YES","","",""
"PesoObjetivo","double(15,3)","YES","","",""
"PorcentajeMinimo","double(9,3)","YES","","",""
"PorcentajeMaximo","double(9,3)","YES","","",""
"FechaCaducidadActivada","tinyint(1)","YES","","1",""
"FechaCaducidad","datetime","YES","","",""
"DiasCaducidad","int(5)","YES","","",""
"HorasCaducidad","int(5)","YES","","",""
"FechaExtraActivada","tinyint(1)","YES","","0",""
"FechaExtra","datetime","YES","","",""
"DiasExtra","int(5)","YES","","",""
"HorasExtra","int(5)","YES","","",""
"FechaEnvasadoActivada","tinyint(1)","YES","","0",""
"FechaEnvasado","datetime","YES","","",""
"DiasEnvasado","int(5)","YES","","",""
"HorasEnvasado","int(5)","YES","","",""
"FechaCongelacionActivada","tinyint(1)","YES","","0",""
"FechaCongelacion","datetime","YES","","",""
"DiasCongelacion","int(5)","YES","","",""
"HorasCongelacion","int(5)","YES","","",""
"FechaConsumoActivada","tinyint(1)","YES","","0",""
"FechaConsumo","datetime","YES","","",""
"DiasConsumo","int(5)","YES","","",""
"HorasConsumo","int(5)","YES","","",""
"FechaFabricacionActivada","tinyint(1)","YES","","0",""
"FechaFabricacion","datetime","YES","","",""
"DiasFabricacion","int(5)","YES","","",""
"HorasFabricacion","int(5)","YES","","",""
"IdEtiqueta","int(11)","YES","","",""
"IdEtiquetaAlergenos","int(11)","YES","","",""
"IdEtiquetaTotales","int(11)","YES","","",""
"IdEtiquetaTotales2","int(11)","YES","","",""
"IdEtiquetaTotales3","int(11)","YES","","",""
"IdEtiquetaTotalesGeneral","int(11)","YES","","",""
"FormatoEtiquetaSerieL","varchar(2)","YES","","",""
"TipoOferta","int(11)","YES","","0",""
"LogoEtiqueta","varchar(1000)","YES","","",""
"CodInterno","int(11)","YES","","",""
"EANScanner","varchar(50)","YES","","",""
"IdClase","int(11)","YES","","",""
"IdElemAsociado","bigint(12)","YES","","",""
"LoteAuto","tinyint(1)","YES","","0",""
"Texto1","text","YES","","",""
"Texto2","text","YES","","",""
"Texto3","text","YES","","",""
"Texto4","text","YES","","",""
"Texto5","text","YES","","",""
"Texto6","text","YES","","",""
"Texto7","text","YES","","",""
"Texto8","text","YES","","",""
"Texto9","text","YES","","",""
"Texto10","text","YES","","",""
"Texto11","text","YES","","",""
"Texto12","text","YES","","",""
"Texto13","text","YES","","",""
"Texto14","text","YES","","",""
"Texto15","text","YES","","",""
"Texto16","text","YES","","",""
"Texto17","text","YES","","",""
"Texto18","text","YES","","",""
"Texto19","text","YES","","",""
"Texto20","text","YES","","",""
"TextoLibre","text","YES","","",""
"PesoPieza","int(11)","YES","","",""
"Medida2","varchar(10)","YES","","",""
"UnidadesCaja","int(11)","YES","","",""
"StockCantidad2","int(1)","YES","","0",""
"PrecioEstandar","decimal(13,3)","YES","","",""
"MargenEstandar","decimal(11,3)","YES","","",""
"PrecioUltimaCompra","decimal(13,3)","YES","","",""
"FechaUltimaCompra","datetime","YES","","",""
"MargenUltimaCompra","decimal(11,3)","YES","","",""
"PrecioMedio","decimal(13,3)","YES","","",""
"MargenMedio","decimal(11,3)","YES","","",""
"ModificaPV","tinyint(1)","YES","","1",""
"PrecioSinIVA","decimal(12,6)","YES","","",""
"IdIVA","int(11)","YES","","",""
"PrecioConIVA","decimal(13,3)","YES","","",""
"Descuento","decimal(9,5)","YES","","",""
"TipoDescuento","int(11)","YES","","1",""
"NumUnidadesDto","int(11)","YES","","2",""
"TipoCalculo","int(11)","NO","","1",""
"AplicarRE","tinyint(1)","YES","","1",""
"IdCodBarras","int(11)","YES","","0",""
"IdCodBarras2","int(11)","YES","","",""
"IdCodBarrasTotalNivel1","int(11)","YES","","",""
"IdCodBarras2TotalNivel1","int(11)","YES","","",""
"IdCodBarrasTotalNivel2","int(11)","YES","","",""
"IdCodBarras2TotalNivel2","int(11)","YES","","",""
"IdCodBarrasTotalNivel3","int(11)","YES","","",""
"IdCodBarras2TotalNivel3","int(11)","YES","","",""
"Nivel1","int(9)","YES","","",""
"Nivel2","int(9)","YES","","",""
"Nivel3","int(9)","YES","","",""
"IdCodBarrasTotalGeneral","int(11)","YES","","",""
"IdCodBarras2TotalGeneral","int(11)","YES","","",""
"IdTexto1","int(11)","YES","","0",""
"IdTexto2","int(11)","YES","","0",""
"IdTexto3","int(11)","YES","","0",""
"IdTexto4","int(11)","YES","","0",""
"IdTexto5","int(11)","YES","","0",""
"IdTexto6","int(11)","YES","","0",""
"IdTexto7","int(11)","YES","","0",""
"IdTexto8","int(11)","YES","","0",""
"IdTexto9","int(11)","YES","","0",""
"IdTexto10","int(11)","YES","","0",""
"Rojo","double(15,3)","YES","","",""
"Verde","double(15,3)","YES","","",""
"Azul","double(15,3)","YES","","",""
"DescripcionPreenvasados","varchar(255)","YES","","",""
"TeclaDirecta","bigint(20)","YES","","",""
"PrecioOferta","decimal(13,3)","YES","","",""
"PrecioOferta2","decimal(13,3)","YES","","",""
"StockActual","double(15,3)","YES","","",""
"StockActual2","double(15,3)","YES","","",""
"PrecioPorCienGramos","tinyint(1)","YES","","0",""
"IncluirGestionStock","tinyint(1)","YES","","1",""
"CodSmiley","int(11)","YES","","",""
"EnVenta","tinyint(1)","YES","","1",""
"IdLogo","int(11)","YES","","",""
"IdLogo1","int(11)","YES","","",""
"IdLogo2","int(11)","YES","","",""
"IdLogo3","int(11)","YES","","",""
"IdLogo4","int(11)","YES","","",""
"IdLogo5","int(11)","YES","","",""
"Color","int(11)","YES","","0",""
"IdEmpresa","int(11)","NO","PRI","1",""
"Modificado","tinyint(1)","YES","","",""
"ModificadoTextos","tinyint(1)","YES","","0",""
"ModificadoTextoG","tinyint(1)","YES","","0",""
"Operacion","char(1)","YES","","",""
"Usuario","varchar(20)","YES","","",""
