"Field","Type","Null","Key","Default","Extra"
"IdCliente","int(6)","NO","PRI","",""
"IdEmpresa","int(11)","NO","PRI","1",""
"Nombre","varchar(50)","YES","","",""
"Direccion","varchar(50)","YES","","",""
"CodPostal","varchar(8)","YES","","",""
"Poblacion","varchar(25)","YES","","",""
"Provincia","varchar(25)","YES","","",""
"Pais","varchar(10)","YES","","",""
"DNI","varchar(30)","YES","","",""
"Telefono1","varchar(20)","YES","","",""
"Telefono2","varchar(20)","YES","","",""
"Telefono3","varchar(20)","YES","","",""
"Email","varchar(100)","YES","","",""
"TipoEmailTicket","smallint(6)","YES","","0",""
"TipoEmailAlbaran","smallint(6)","YES","","0",""
"TipoEmailFactura","smallint(6)","YES","","0",""
"Foto","varchar(1000)","YES","","",""
"IdTarifa","int(11)","YES","","",""
"Ofertas","tinyint(1)","YES","","0",""
"IdFormaPago","int(11)","YES","","",""
"IdEstado","int(11)","YES","","",""
"Observaciones","text","YES","","",""
"CodInterno","varchar(25)","YES","","",""
"Descuento","decimal(9,3)","YES","","",""
"PuntosFidelidad","double(15,3)","YES","","",""
"CuentaPendiente","double(15,3)","YES","","",""
"EANScanner","varchar(50)","YES","","",""
"FormatoAlbaran","int(11)","YES","","",""
"UsarRecargoEquivalencia","tinyint(1)","YES","","0",""
"DtoProntoPago","double(9,3)","YES","","",""
"NombreBanco","varchar(100)","YES","","",""
"CodigoCuenta","varchar(100)","YES","","",""
"NumeroVencimientos","int(11)","YES","","",""
"DiasEntreVencimientos","int(11)","YES","","",""
"TotalPorArticulo","tinyint(1)","YES","","0",""
"AplicarTarifaEtiqueta","tinyint(1)","YES","","1",""
"FormatoFactura","int(11)","YES","","",""
"ModoFacturacion","int(11)","YES","","",""
"Modificado","tinyint(1)","YES","","",""
"Operacion","char(1)","YES","","",""
"Usuario","varchar(20)","YES","","",""
"TimeStamp","timestamp","YES","","CURRENT_TIMESTAMP",""
