"Field","Type","Null","Key","Default","Extra"
"IdAlbaran","bigint(20)","NO","PRI","1",""
"NumAlbaran","bigint(20)","YES","","",""
"IdEmpresa","int(11)","NO","PRI","1",""
"NombreEmpresa","varchar(100)","YES","","",""
"CIF_VAT_Empresa","varchar(14)","YES","","",""
"DireccionEmpresa","varchar(50)","YES","","",""
"PoblacionEmpresa","varchar(25)","YES","","",""
"CPEmpresa","varchar(8)","YES","","",""
"TelefonoEmpresa","varchar(20)","YES","","",""
"ProvinciaEmpresa","varchar(25)","YES","","",""
"IdTienda","int(11)","NO","PRI","1",""
"NombreTienda","varchar(50)","YES","","",""
"IdBalanzaMaestra","int(11)","NO","PRI","0",""
"NombreBalanzaMaestra","varchar(50)","YES","","",""
"IdBalanzaEsclava","int(11)","NO","PRI","0",""
"NombreBalanzaEsclava","varchar(50)","YES","","",""
"Tipo","varchar(2)","NO","","T",""
"IdVendedor","int(11)","YES","","",""
"NombreVendedor","varchar(50)","YES","","",""
"IdCliente","int(11)","YES","","",""
"NombreCliente","varchar(50)","YES","","",""
"DNICliente","varchar(30)","YES","","",""
"EmailCliente","varchar(100)","YES","","",""
"DireccionCliente","varchar(50)","YES","","",""
"PoblacionCliente","varchar(25)","YES","","",""
"ProvinciaCliente","varchar(25)","YES","","",""
"PaisCliente","varchar(10)","YES","","",""
"CPCliente","varchar(8)","YES","","",""
"TelefonoCliente","varchar(20)","YES","","",""
"ObservacionesCliente","text","YES","","",""
"EANCliente","varchar(50)","YES","","",""
"ReferenciaDocumento","varchar(50)","YES","","",""
"ObservacionesDocumento","text","YES","","",""
"TipoVenta","tinyint(1)","NO","","2",""
"ImporteLineas","double(15,3)","YES","","",""
"PorcDescuento","double(9,3)","YES","","",""
"ImporteDescuento","double(15,3)","YES","","",""
"ImporteRE","double(15,3)","YES","","",""
"ImporteTotalSinRE","double(15,3)","YES","","",""
"ImporteTotalSinIVAConDtoLConDtoTotalConRE","double(15,3)","YES","","",""
"ImporteTotal","double(15,3)","YES","","",""
"ImporteLineas2","double(15,3)","YES","","",""
"PorcDescuento2","double(9,3)","YES","","",""
"ImporteDescuento2","double(15,3)","YES","","",""
"ImporteTotal2","double(15,3)","YES","","",""
"ImporteLineas3","double(15,3)","YES","","",""
"PorcDescuento3","double(9,3)","YES","","",""
"ImporteDescuento3","double(15,3)","YES","","",""
"ImporteTotal3","double(15,3)","YES","","",""
"ImporteTotalSinIVAConDtoL","double(15,3)","YES","","",""
"ImporteTotalSinIVAConDtoLConDtoTotal","double(15,3)","YES","","",""
"ImporteDtoTotalSinIVA","double(15,3)","YES","","",""
"ImporteTotalDelIVAConDtoLConDtoTotal","double(15,3)","YES","","",""
"ImporteSinRedondeo","double(15,3)","YES","","",""
"ImporteDelRedondeo","double(15,3)","YES","","",""
"PreseleccionCliente","tinyint(1)","YES","","0",""
"Fecha","datetime","YES","","",""
"FechaModificacion","datetime","YES","","",""
"Enviado","tinyint(1)","NO","","0",""
"NumLineas","smallint(6)","YES","","",""
"CodigoBarras","varchar(1000)","YES","","",""
"CodBarrasTalonCaja","varchar(1000)","YES","","",""
"SerieLIdFinDeDia","bigint(20)","YES","","",""
"SerieLTicketErroneo","tinyint(1)","NO","","0",""
"IdTarifa","int(11)","YES","","",""
"NombreTarifa","varchar(25)","YES","","",""
"DescuentoTarifa","decimal(9,3)","YES","","",""
"TipoTarifa","varchar(1)","YES","","",""
"FechaInicioTarifa","datetime","YES","","",""
"FechaFinTarifa","datetime","YES","","",""
"Modificado","tinyint(1)","YES","","",""
"Operacion","char(1)","YES","","",""
"Usuario","varchar(20)","YES","","",""
"TimeStamp","timestamp","YES","","CURRENT_TIMESTAMP",""
"EstadoTicket","char(1)","YES","","",""
"ImporteEntregado","double(15,3)","YES","","",""
"ImporteDevuelto","double(15,3)","YES","","",""
"PuntosFidelidad","double(15,3)","YES","","",""
"PuntosFidelidadTotales","double(15,3)","YES","","",""
"REAplicado","tinyint(1)","YES","","0",""
"IdBotonVendedor","int(11)","YES","","",""
"Version","varchar(5)","YES","","",""
