"Field","Type","Null","Key","Default","Extra"
"IdLineaTicket","int(11)","NO","PRI","",""
"IdLineaTicket_Original","int(11)","YES","","",""
"IdEmpresa","int(11)","NO","PRI","1",""
"IdTienda","int(11)","NO","PRI","1",""
"IdBalanzaMaestra","int(11)","NO","PRI","0",""
"IdBalanzaEsclava","int(11)","NO","PRI","0",""
"IdTicket","bigint(20)","NO","PRI","0",""
"TipoVenta","tinyint(1)","NO","PRI","2",""
"IdBalanzaMaestraOrigen","int(11)","YES","","",""
"IdBalanzaEsclavaOrigen","int(11)","YES","","",""
"TipoOrigen","char(1)","YES","","",""
"IdOrigen","bigint(20)","YES","","",""
"NumeroOrigen","bigint(20)","YES","","",""
"FechaOrigen","datetime","YES","","",""
"IdLineaOrigen","int(11)","YES","","",""
"EstadoLinea","smallint(6)","NO","","0",""
"IdArticulo","int(11)","YES","","",""
"Descripcion","varchar(100)","YES","","",""
"Descripcion1","varchar(100)","YES","","",""
"Comportamiento","smallint(6)","NO","","0",""
"ComportamientoDevolucion","smallint(6)","NO","","0",""
"EntradaManual","tinyint(1)","YES","","0",""
"Tara","decimal(11,3)","YES","","",""
"TaraPreprogramada","smallint(2)","YES","","0",""
"Peso","double(15,3)","YES","","",""
"PesoUnitarioEntreMil","double(15,3)","YES","","",""
"PesoUnitarioEntreMilParaPesados","double(15,3)","YES","","",""
"PesoUnitarioEntreMilParaUnitarios","double(15,3)","YES","","",""
"PesoBruto","double(15,3)","YES","","",""
"PesoEmbalaje","double(15,3)","YES","","",""
"PesoRegalado","double(15,3)","YES","","",""
"Cantidad2","double(15,3)","YES","","",""
"Cantidad2Regalada","double(15,3)","YES","","",""
"Medida2","varchar(10)","YES","","",""
"PesoNetoNoEscurrido","double(15,3)","YES","","",""
"ValorTaraPorcentual","double(15,3)","YES","","",""
"TaraNoEscurrida","double(15,3)","YES","","",""
"DetalleTara","text","YES","","",""
"PrecioPorCienGramos","tinyint(1)","YES","","0",""
"Precio","double(15,3)","YES","","",""
"PrecioSinOferta","double(15,3)","YES","","",""
"PrecioSinIVA","decimal(12,6)","YES","","",""
"PrecioConIVASinDtoL","double(15,3)","YES","","",""
"IdIVA","int(11)","YES","","",""
"PorcentajeIVA","decimal(11,3)","YES","","0.000",""
"RecargoEquivalencia","double(9,3)","YES","","0.000",""
"Descuento","double(9,5)","YES","","",""
"TipoDescuento","int(11)","YES","","1",""
"Importe","double(15,3)","YES","","",""
"ImporteSinOferta","double(15,3)","YES","","",""
"ImporteSinIVASinDtoL","double(15,3)","YES","","",""
"ImporteConIVASinDtoL","double(15,3)","YES","","",""
"ImporteSinIVAConDtoL","double(15,3)","YES","","",""
"ImporteDelIVAConDtoL","double(15,3)","YES","","",""
"ImporteSinIVAConDtoLConDtoTotal","double(15,3)","YES","","",""
"ImporteDelIVAConDtoLConDtoTotal","double(15,3)","YES","","",""
"ImporteDelRE","double(15,3)","YES","","",""
"ImporteDelDescuento","double(15,3)","YES","","",""
"ImporteConDtoTotal","double(15,3)","YES","","",""
"TaraFija","decimal(11,3)","YES","","",""
"TaraPorcentual","decimal(11,3)","YES","","",""
"DiasCaducidad","int(5)","YES","","",""
"HorasCaducidad","int(5)","YES","","",""
"FechaCaducidad","datetime","YES","","",""
"DiasExtra","int(5)","YES","","",""
"HorasExtra","int(5)","YES","","",""
"FechaExtra","datetime","YES","","",""
"DiasEnvasado","int(5)","YES","","",""
"HorasEnvasado","int(5)","YES","","",""
"FechaEnvasado","datetime","YES","","",""
"DiasCongelacion","int(5)","YES","","",""
"HorasCongelacion","int(5)","YES","","",""
"FechaCongelacion","datetime","YES","","",""
